,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
496,u27JXf_ge_s,O Homem e a Mulher Desobedecem a Deus - Língua de Sinais de Moçambique - FGH - Intro,"O Homem e a Mulher Desobedecem a Deus - Gênesis 3.1-24
Língua de Sinais de Moçambique - Siga Deus como história 3",PT2M34S,0:2:34,154.0
497,xQnmGICxOnE,O Homem e a Mulher Desobedecem a Deus - Língua de Sinais de Moçambique - FGH - Diálogo,"O Homem e a Mulher Desobedecem a Deus - Gênesis 3.1-24
Língua de Sinais de Moçambique - Siga Deus como história 3",PT10M36S,0:10:36,636.0
498,VCTJdY97n84,O Homem e a Mulher Desobedecem a Deus - Língua de Sinais de Moçambique - FGH - História,"O Homem e a Mulher Desobedecem a Deus - Gênesis 3.1-24
Língua de Sinais de Moçambique - Siga Deus como história 3",PT7M34S,0:7:34,454.0
499,2zaHEhCqDas,O Homem e a Mulher Desobedecem a Deus - Língua de Sinais de Moçambique - FGH - Tema,"O Homem e a Mulher Desobedecem a Deus - Gênesis 3.1-24
Língua de Sinais de Moçambique - Siga Deus como história 3",PT13S,0:0:13,13.0
500,Oe2qfgG7hd0,Deus Fez o Homem e a Mulher - Língua de Sinais de Moçambique - FGH - Diálogo,"Deus Fez o Homem e a Mulher - Gênesis 2.7-25
Língua de Sinais de Moçambique - Siga Deus como história 2",PT9M34S,0:9:34,574.0
501,5-z5iq8Hw9U,Deus Fez o Homem e a Mulher - Língua de Sinais de Moçambique - FGH - Mais Inform,"Deus Fez o Homem e a Mulher - Gênesis 2.7-25
Língua de Sinais de Moçambique - Siga Deus como história 2",PT2M55S,0:2:55,175.0
502,YtUKxp6qDXo,Deus Fez o Homem e a Mulher - Língua de Sinais de Moçambique - FGH - História,"Deus Fez o Homem e a Mulher - Gênesis 2.7-25
Língua de Sinais de Moçambique - Siga Deus como história 2",PT5M15S,0:5:15,315.0
503,ZRNjOsuhzj0,Deus Fez o Homem e a Mulher - Língua de Sinais de Moçambique - FGH - Intro,"Deus Fez o Homem e a Mulher - Gênesis 2.7-25
Língua de Sinais de Moçambique - Siga Deus como história 2",PT2M5S,0:2:5,125.0
504,mmQs8b8y1EE,Deus Fez o Homem e a Mulher - Língua de Sinais de Moçambique - FGH - Tema,"Deus Fez o Homem e a Mulher - Gênesis 2.7-25
Língua de Sinais de Moçambique - Siga Deus como história 2",PT11S,0:0:11,11.0
505,hIG6muCJkzU,A Criação - Língua de Sinais de Moçambique - FGH - Mais Inform,"A Criação - Gênesis 1.1-31, 2.1-3
Língua de Sinais de Moçambique - Siga Deus como história 1",PT1M51S,0:1:51,111.0
506,vyoE9nehxjQ,A Criação - Língua de Sinais de Moçambique - FGH - Diálogo,"A Criação - Gênesis 1.1-31, 2.1-3
Língua de Sinais de Moçambique - Siga Deus como história 1",PT7M41S,0:7:41,461.0
507,4MEz1lkm_34,A Criação - Língua de Sinais de Moçambique - FGH - História,"A Criação - Gênesis 1.1-31, 2.1-3
Língua de Sinais de Moçambique - Siga Deus como história 1",PT9M20S,0:9:20,560.0
