,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
88,qj0RGTmBAHw,Herod Persecutes the Apostles - South Sudan Sign Language - SGH - More Info,"Herod Persecutes the Apostles: Acts 12:1-19
South Sudan Sign Language - Serve God How Story 12",PT3M38S,0:3:38,218.0
89,kbNhUPJS8PY,Herod Persecutes the Apostles - South Sudan Sing Language - SGH - Intro,"Herod Persecutes the Apostles: Acts 12:1-19
South Sudan Sign Language - Serve God How Story 12",PT2M33S,0:2:33,153.0
90,RqVHH-ciDhg,Herod Persecutes the Apostles - South Sudan Sign Language - SGH - Topic,"Herod Persecutes the Apostles: Acts 12:1-19
South Sudan Sign Language - Serve God How Story 12",PT14S,0:0:14,14.0
91,Y4AvFGxvv1o,First Church in Antioch - South Sudan Sign Language - SGH - Story,"First Church in Antioch: Acts 11:19-30
South Sudan Sign Language - Serve God How Story 11",PT4M24S,0:4:24,264.0
92,F6Qk3GI-QW4,First Church in Antioch - South Sudan Sign Language - SGH - More Info,"First Church in Antioch: Acts 11:19-30
South Sudan Sign Language - Serve God How Story 11",PT1M41S,0:1:41,101.0
93,p2hr72tdrmQ,First Church in Antioch - South Sudan Sign Language - SGH - Intro,"First Church in Antioch: Acts 11:19-30
South Sudan Sign Language - Serve God How Story 11",PT2M1S,0:2:1,121.0
94,SfVTQFCUzsk,First Church in Antioch - South Sudan Sign Language - SGH - Topic,"First Church in Antioch: Acts 11:19-30
South Sudan Sign Language - Serve God How Story 11",PT13S,0:0:13,13.0
95,wGBmy_ABjkI,Jews Accept the Salvation of Gentiles - South Sudan Sign Language - SGH - Story,"Jews Accept the Salvation of Gentiles: Acts 11:1-18
South Sudan Sign Language - Serve God How Story 10",PT6M44S,0:6:44,404.0
96,zBVHa6E3umk,Jews Accept the Salvation of Gentiles - South Sudan Sign Language - SGH - More Info,"Jews Accept the Salvation of Gentiles: Acts 11:1-18
South Sudan Sign Language - Serve God How Story 10",PT3M36S,0:3:36,216.0
97,0ulJFjyI1lQ,Jews Accept the Salvation of Gentiles - South Sudan Sign Language - SGH -Intro,"Jews Accept the Salvation of Gentiles: Acts 11:1-18
South Sudan Sign Language - Serve God How Story 10",PT4M38S,0:4:38,278.0
98,1jgD0pnIf-I,Jews Accept the Salvation of Gentiles - South Sudan Sign Language - SGH -Topic,"Jews Accept the Salvation of Gentiles: Acts 11:1-18
South Sudan Sign Language - Serve God How Story 10",PT14S,0:0:14,14.0
