,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
28,CiPVYjoypJc,Topic - Christ and Church Relationship as Example for Husband and Wife - Nigerian Sign Langauge,"Christ and Church Relationship as Example for Husband and Wife - Ephesians 5:21-33
Nigerian Sign Language - CBT 105, SGH 030",PT24S,0:0:24,24.0
29,o5d_RLZAoAU,Dialogue - Paul Travels to Rome - Nigerian Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Nigerian Sign Language - CBT 104, SGH 029",PT16M17S,0:16:17,977.0
30,fpaJb7i1vgc,More Information - Paul Travels to Rome - Nigerian Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Nigerian Sign Language - CBT 104, SGH 029",PT12M53S,0:12:53,773.0
31,y1ugD5zW4cg,Story - Paul Travels to Rome - Nigerian Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Nigerian Sign Language - CBT 104, SGH 029",PT51M16S,0:51:16,3076.0
32,f-kw1KdamAs,Introduction - Paul Travels to Rome - Nigerian Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Nigerian Sign Language - CBT 104, SGH 029",PT5M30S,0:5:30,330.0
33,TZXXWXeK1fY,Topic - Paul Travels to Rome - Nigerian Sign Language,"Paul Travels to Rome - Acts 27:1-44, 28:1-31
Nigerian Sign Language - CBT 104, SGH 029",PT12S,0:0:12,12.0
34,ESSrZz5VAu4,Dialogue - Paul is Imprisoned in Jerusalem - Nigerian Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Nigerian Sign Langauge - CBT 103, SGH 028",PT5M19S,0:5:19,319.0
35,bCtvj40t5HE,More Information - Paul is Imprisoned in Jerusalem - Nigerian Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Nigerian Sign Langauge - CBT 103, SGH 028",PT11M17S,0:11:17,677.0
36,D1Mr_Bai-FY,Story - Paul is Imprisoned in Jerusalem - Nigerian Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Nigerian Sign Langauge - CBT 103, SGH 028",PT25M11S,0:25:11,1511.0
37,-QuMNwhryM8,Introduction - Paul is Imprisoned in Jerusalem - Nigerian Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Nigerian Sign Langauge - CBT 103, SGH 028",PT4M57S,0:4:57,297.0
